OBJECT_NAME,OBJECT_ID,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,COUNTRY_CODE,LAUNCH_DATE,SITE,RCS_SIZE,TLE_LINE1,TLE_LINE2
"ARIANE 5 R/B","2020-056E","626.975","35495.876","279.339","ROCKET BODY","FR","2020-08-15","FRGUI","LARGE","1 46116U 20056E   21272.38176687  .00000402  00000-0  24692-3 0  9993","2 46116   6.1821 324.5906 7256431 144.1947 298.6327  2.29674294  9387"
"H-2A DEB","2018-084S","96.158","594.659","554.407","DEBRIS","JPN","2018-10-29","TNSTA","MEDIUM","1 46181U 18084S   21271.57223718  .00032143  00000-0  27265-2 0  9996","2 46181  97.8427  30.0460 0028947  43.2500 317.0987 14.97529914 65788"
"H-2A DEB","2018-084U","95.757","560.112","550.212","DEBRIS","JPN","2018-10-29","TNSTA","MEDIUM","1 46183U 18084U   21271.60141858  .00030876  00000-0  22411-2 0  9995","2 46183  97.8697  36.1993 0007139 335.8123  24.2766 15.03810338 66119"
"H-2A DEB","2018-084AH","96.037","593.348","543.972","DEBRIS","JPN","2018-10-29","TNSTA","MEDIUM","1 46196U 18084AH  21271.31220945  .00053430  00000-0  42797-2 0  9992","2 46196  97.7585  25.4977 0035539  78.5722 281.9490 14.99429437 65454"
"H-2A DEB","2018-084AN","91.568","368.398","334.486","DEBRIS","JPN","2018-10-29","TNSTA","MEDIUM","1 46201U 18084AN  21272.31039953  .04951672  00000-0  30451-1 0  9999","2 46201  97.8453  41.5088 0025196 313.6901  46.2273 15.72610166 66396"
"H-2A DEB","2018-084AR","92.685","420.572","391.559","DEBRIS","JPN","2018-10-29","TNSTA","SMALL","1 46204U 18084AR  21264.33255360  .00700222  00000-0  99913-2 0  9995","2 46204  97.7772  33.3731 0021383 277.4614  82.4209 15.53655513 61141"
"H-2A DEB","2018-084AT","94.883","519.927","505.896","DEBRIS","JPN","2018-10-29","TNSTA","SMALL","1 46206U 18084AT  21272.34404473  .00137596  00000-0  67066-2 0  9990","2 46206  97.8782  39.3664 0010180 310.9507  49.0844 15.17661756 64786"
"FREGAT DEB","2011-037JX","125.113","3367.990","448.394","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46237U 11037JX  21272.21501475  .00013535  00000-0  33797-2 0  9991","2 46237  51.4401 205.6078 1761695 274.9938  65.3063 11.50958424 46477"
"FREGAT DEB","2011-037JY","138.611","2968.943","2018.914","DEBRIS","CIS","2011-07-18","TTMTR","MEDIUM","1 46238U 11037JY  21253.80357718 -.00000054  00000-0  00000-0 0  9997","2 46238  50.6674 175.0842 0535405  51.6463 313.1169 10.38880987 41390"
"FREGAT DEB","2011-037JZ","129.376","3584.284","606.408","DEBRIS","CIS","2011-07-18","TTMTR","","1 46239U 11037JZ  20241.23513097 -.00007946  00000-0 -71588-2 0  9994","2 46239  51.4118 179.1165 1757174 199.5354 152.8976 11.13037878  1125"
"FREGAT DEB","2011-037KA","125.002","2849.111","957.499","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46240U 11037KA  20280.42292097  .00028457  00000-0  12654+0 0  9998","2 46240  50.8492  60.3875 1142079 285.9685  61.8407 11.51977428  7279"
"FREGAT DEB","2011-037KB","127.406","3535.884","482.409","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46241U 11037KB  21270.52326953  .00133237  00000-0  46329-1 0  9990","2 46241  51.2320 313.7922 1820301 198.4469 154.0944 11.30240747 44638"
